Cell,"Lineage Name",Description
ADFL,"AB alpppppaa","Amphid neuron, prob. chemosensory"
ADFR,"AB praaappaa","Amphid neuron, prob. chemosensory"
ADLL,"AB alppppaad","Amphid neuron, prob. chemosensory"
ADLR,"AB praaapaad","Amphid neuron, prob. chemosensory"
AFDL,"AB alpppapav","Amphid finger cell, neuron associated with amphid sheath"
AFDR,"AB praaaapav","Amphid finger cell, neuron associated with amphid sheath"
AIAL,"AB plppaappa","Amphid interneuron"
AIAR,"AB prppaappa","Amphid interneuron"
AIBL,"AB plaapappa","Amphid interneuron"
AIBR,"AB praapappa","Amphid interneuron"
AIML,"AB plpaapppa","Ring interneuron"
AIMR,"AB prpaapppa","Ring interneuron"
AINL,"AB alaaaalal","Ring interneuron"
AINR,"AB alaapaaar","Ring interneuron"
AIYL,"AB plpapaaap","Amphid interneuron"
AIYR,"AB prpapaaap","Amphid interneuron"
AIZL,"AB plapaaapav","Amphid interneuron"
AIZR,"AB prapaaapav","Amphid interneuron"
